File;Line;Function;Executable Source Lines;Executable Source Lines Covered;Instructions;Instructions Covered;Run Count;Instructions Executed
fully_connected_common.cc;47;FullyConnectedParamsFloat(enum TfLiteFusedActivation);3;0;8;0;0;0
fully_connected_common.cc;34;FullyConnectedParamsQuantized(const struct OpDataFullyConnected&);8;8;17;17;5050;85850
clock_control_nrf.c;271;generic_hfclk_start();13;0;32;0;0;0
clock_control_nrf.c;301;generic_hfclk_stop();3;0;13;0;0;0
nrf_rtc.h;310;get_comparator(int);1;1;4;4;1;4
;0;get_dev_config(const struct device*) (always inlined);0;0;0;0;0;0
;0;get_dev_data(const struct device*) (always inlined);0;0;0;0;0;0
;0;get_esf(unsigned int, unsigned int, unsigned int, _Bool*) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;264;get_hf_flags();1;0;2;0;0;0
;0;get_level_pins(const struct device*) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;104;get_onoff_manager(const struct device*, enum clock_control_nrf_type);2;2;3;3;6;18
;0;get_port_cfg(const struct device*) (always inlined);0;0;0;0;0;0
;0;get_port_data(const struct device*) (always inlined);0;0;0;0;0;0
;0;get_region_attr_from_mpu_partition_info(struct arm_mpu_region_attr*, const struct k_mem_partition_attr_t*, unsigned int, unsigned int) (always inlined);0;0;0;0;0;0
;0;get_region_index(unsigned int, unsigned int) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;121;get_status(const struct device*, void*);2;0;6;0;0;0
clock_control_nrf.c;95;get_sub_config(const struct device*, enum clock_control_nrf_type);2;2;3;3;1;3
clock_control_nrf.c;87;get_sub_data(const struct device*, enum clock_control_nrf_type);2;2;6;6;6;36
clock_control_nrf.c;409;get_subsys(struct onoff_manager*);2;2;4;4;1;4
;0;get_uarte_instance(const struct device*) (always inlined);0;0;0;0;0;0
schema_utils.cc;45;GetBuiltinCode(const struct OperatorCode*);6;3;48;32;10;350
;0;GetEvalInput(const struct TfLiteContext*, const struct TfLiteNode*, int) (always inlined);0;0;0;0;0;0
;0;GetEvalOutput(const struct TfLiteContext*, const struct TfLiteNode*, int) (always inlined);0;0;0;0;0;0
micro_allocator.cc;395;GetFlatbufferTensorBuffer(const struct Tensor&, const class Vector<flatbuffers::Offset<tflite::Buffer> >*);9;4;63;46;73;2821
kernel_util.cc;109;GetInput(const struct TfLiteContext*, const struct TfLiteNode*, int);9;3;27;13;30;420
;0;GetModel(const void*) (always inlined);0;0;0;0;0;0
;0;GetMutableEvalInput(const struct TfLiteContext*, const struct TfLiteNode*, int) (always inlined);0;0;0;0;0;0
;0;GetMutableInput(const struct TfLiteContext*, const struct TfLiteNode*, int) (always inlined);0;0;0;0;0;0
flatbuffers.h;2097;GetMutableRoot<tflite::Model>(void*);2;2;6;6;1;6
kernel_util.cc;146;GetOptionalInputTensor(const struct TfLiteContext*, const struct TfLiteNode*, int);2;2;3;3;10;30
kernel_util.cc;126;GetOutput(struct TfLiteContext*, const struct TfLiteNode*, int);9;3;27;13;10;140
kernel_util.cc;287;GetQuantizedConvolutionMultipler(struct TfLiteContext*, const struct TfLiteTensor*, const struct TfLiteTensor*, const struct TfLiteTensor*, struct TfLiteTensor*, double*);17;11;54;40;10;400
kernel_util.cc;324;GetQuantizedConvolutionMultipler(struct TfLiteContext*, const struct TfLiteTensor*, const struct TfLiteTensor*, struct TfLiteTensor*, double*);5;4;38;27;10;270
op_resolver.cc;25;GetRegistrationFromOpCode(const struct OperatorCode*, const class OpResolver&, class ErrorReporter*, const struct TfLiteRegistration**);19;5;90;33;10;330
flatbuffers.h;2104;GetRoot<tflite::Model>(const void*);1;1;3;3;1;3
;0;GetTensorAtIndex(const struct TfLiteContext*, int) (always inlined);0;0;0;0;0;0
kernel_util.h;61;GetTensorData<float>(const struct TfLiteEvalTensor*);1;0;5;0;0;0
kernel_util.h;55;GetTensorData<float>(struct TfLiteEvalTensor*);1;0;4;0;0;0
kernel_util.h;61;GetTensorData<int>(const struct TfLiteEvalTensor*);1;0;5;3;5050;15150
kernel_util.h;55;GetTensorData<int>(struct TfLiteEvalTensor*);1;0;4;0;0;0
kernel_util.h;61;GetTensorData<short int>(const struct TfLiteEvalTensor*);1;0;5;0;0;0
kernel_util.h;55;GetTensorData<short int>(struct TfLiteEvalTensor*);1;0;4;0;0;0
kernel_util.h;61;GetTensorData<signed char>(const struct TfLiteEvalTensor*);1;0;5;3;10100;30300
kernel_util.h;55;GetTensorData<signed char>(struct TfLiteEvalTensor*);1;0;4;2;5050;10100
kernel_util.h;61;GetTensorData<unsigned char>(const struct TfLiteEvalTensor*);1;0;5;0;0;0
kernel_util.cc;30;GetTensorShape(const struct TfLiteEvalTensor*);9;4;31;16;20200;363600
;0;gpio_fire_callbacks(struct _slist*, const struct device*, unsigned int) (always inlined);0;0;0;0;0;0
;0;gpio_manage_callback(struct _slist*, struct gpio_callback*, _Bool) (always inlined);0;0;0;0;0;0
gpio_nrfx.c;156;gpio_nrfx_config(const struct device*, unsigned char, unsigned int);19;0;94;0;0;0
gpio_nrfx.c;567;gpio_nrfx_init(const struct device*);7;6;20;19;2;24
gpio_nrfx.c;310;gpio_nrfx_manage_callback(const struct device*, struct gpio_callback*, _Bool);13;0;49;0;0;0
gpio_nrfx.c;282;gpio_nrfx_pin_interrupt_configure(const struct device*, unsigned char, enum gpio_int_mode, enum gpio_int_trig);12;0;71;0;0;0
gpio_nrfx.c;260;gpio_nrfx_port_clear_bits_raw(const struct device*, unsigned int);3;0;5;0;0;0
gpio_nrfx.c;228;gpio_nrfx_port_get_raw(const struct device*, unsigned int*);3;0;6;0;0;0
gpio_nrfx.c;250;gpio_nrfx_port_set_bits_raw(const struct device*, unsigned int);3;0;5;0;0;0
gpio_nrfx.c;237;gpio_nrfx_port_set_masked_raw(const struct device*, unsigned int, unsigned int);5;0;9;0;0;0
gpio_nrfx.c;270;gpio_nrfx_port_toggle_bits(const struct device*, unsigned int);5;0;7;0;0;0
gpio_nrfx.c;54;gpiote_channel_alloc(unsigned int, enum nrf_gpiote_polarity_t);12;0;44;0;0;0
gpio_nrfx.c;487;gpiote_event_handler();26;0;128;0;0;0
gpio_nrfx.c;76;gpiote_pin_cleanup(unsigned int);9;0;30;0;0;0
gpio_nrfx.c;101;gpiote_pin_int_cfg(const struct device*, unsigned int);16;0;60;0;0;0
greedy_memory_planner.cc;87;GreedyMemoryPlanner::AddBuffer(const class GreedyMemoryPlanner*, class ErrorReporter*, int, int, int);12;9;28;22;11;242
greedy_memory_planner.cc;105;GreedyMemoryPlanner::AddBuffer(const class GreedyMemoryPlanner*, class ErrorReporter*, int, int, int, int);5;0;17;0;0;0
greedy_memory_planner.cc;160;GreedyMemoryPlanner::CalculateOffsetsIfNeeded(const class GreedyMemoryPlanner*);56;45;164;144;13;1303
greedy_memory_planner.cc;117;GreedyMemoryPlanner::DoesEntryOverlapInTime(const class GreedyMemoryPlanner*, const struct ListEntry*, const int, const int);3;3;15;15;53;456
greedy_memory_planner.cc;393;GreedyMemoryPlanner::GetBufferCount(const class GreedyMemoryPlanner*);1;0;2;0;0;0
greedy_memory_planner.cc;310;GreedyMemoryPlanner::GetMaximumMemorySize(const class GreedyMemoryPlanner*);11;8;29;26;2;288
greedy_memory_planner.cc;395;GreedyMemoryPlanner::GetOffsetForBuffer(const class GreedyMemoryPlanner*, class ErrorReporter*, int, int*);7;4;23;14;11;154
greedy_memory_planner.cc;61;GreedyMemoryPlanner::GreedyMemoryPlanner(const class GreedyMemoryPlanner*, unsigned char*, int);12;11;24;23;1;23
greedy_memory_planner.cc;132;GreedyMemoryPlanner::NextSimultaneouslyActiveBuffer(const class GreedyMemoryPlanner*, const struct ListEntry*, const int, const int);9;7;34;31;17;716
memory_planner.h;49;GreedyMemoryPlanner::~GreedyMemoryPlanner(const class GreedyMemoryPlanner*);1;1;1;1;1;1
greedy_memory_planner.cc;83;GreedyMemoryPlanner::~GreedyMemoryPlanner(const class GreedyMemoryPlanner*);1;0;5;0;0;0
;0;handle_poll_events(struct k_sem*) (always inlined);0;0;0;0;0;0
fault.c;662;hard_fault(struct __esf*, _Bool*);16;0;51;0;0;0
;0;heap_footer_bytes(unsigned int) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;241;hfclk192m_start();2;0;4;0;0;0
clock_control_nrf.c;246;hfclk192m_stop();2;0;4;0;0;0
clock_control_nrf.c;222;hfclk_start();2;0;4;0;0;0
clock_control_nrf.c;231;hfclk_stop();2;0;4;0;0;0
clock_control_nrf.c;253;hfclkaudio_start();2;0;4;0;0;0
clock_control_nrf.c;258;hfclkaudio_stop();2;0;4;0;0;0
hw_cc310.c;36;hw_cc3xx_init(const struct device*);5;5;7;7;1;7
hw_cc310.c;20;hw_cc3xx_init_internal(const struct device*);3;3;3;3;2;6
idle.c;64;idle(void*, void*, void*);3;3;7;7;1;164220
;0;in_anchor_range(unsigned int) (always inlined);0;0;0;0;0;0
;0;IndirectHelper<float>::Read(const unsigned char*, unsigned int) (always inlined);0;0;0;0;0;0
quantize.cc;28;Init(struct TfLiteContext*, const char*, unsigned int);3;0;7;0;0;0
fully_connected.cc;31;Init(struct TfLiteContext*, const char*, unsigned int);3;1;7;5;10;50
dequantize.cc;41;Init(struct TfLiteContext*, const char*, unsigned int);3;0;7;0;0;0
init.c;230;init_idle_thread(int);6;6;37;37;1;37
mem_slab.c;55;init_mem_slab_module(const struct device*);4;1;13;6;1;7
micro_allocator.cc;539;InitializeTfLiteEvalTensorFromFlatbuffer(class SimpleMemoryAllocator*, const struct Tensor&, const class Vector<flatbuffers::Offset<tflite::Buffer> >*, class ErrorReporter*, struct TfLiteEvalTensor*);10;6;66;49;31;1550
micro_allocator.cc;425;InitializeTfLiteTensorFromFlatbuffer(class SimpleMemoryAllocator*, bool, const struct Tensor&, const class Vector<flatbuffers::Offset<tflite::Buffer> >*, class ErrorReporter*, struct TfLiteTensor*);33;15;374;266;42;10446
nrfx_gpiote.c;317;is_allocated_channel(unsigned char);1;0;10;0;0;0
nrfx_gpiote.c;322;is_app_channel(unsigned char);1;0;7;0;0;0
;0;is_preempt(struct k_thread*) (always inlined);0;0;0;0;0;0
uart_nrfx_uarte.c;460;is_tx_ready(const struct device*);3;2;17;10;201263;1610104
;0;IsOutRange<tflite::BuiltinOperator>(const enum BuiltinOperator&, const enum BuiltinOperator&, const enum BuiltinOperator&) (always inlined);0;0;0;0;0;0
;0;k_busy_wait(unsigned int) (always inlined);0;0;0;0;0;0
;0;k_cpu_atomic_idle(unsigned int) (always inlined);0;0;0;0;0;0
;0;k_cpu_idle() (always inlined);0;0;0;0;0;0
;0;k_current_get() (always inlined);0;0;0;0;0;0
kheap.c;13;k_heap_init(struct k_heap*, void*, unsigned int);6;0;6;0;0;0
cmsis_gcc.h;1031;k_is_in_isr();2;1;5;4;5775;28875
;0;k_is_pre_kernel() (always inlined);0;0;0;0;0;0
mem_slab.c;103;k_mem_slab_alloc(struct k_mem_slab*, void**, struct k_timeout_t);16;0;41;0;0;0
mem_slab.c;147;k_mem_slab_free(struct k_mem_slab*, void**);15;0;33;0;0;0
mem_slab.c;75;k_mem_slab_init(struct k_mem_slab*, void*, unsigned int, unsigned int);11;10;14;13;1;13
;0;k_ms_to_ticks_ceil32(unsigned int) (always inlined);0;0;0;0;0;0
;0;k_ms_to_ticks_ceil64(long long unsigned int) (always inlined);0;0;0;0;0;0
;0;k_msleep(int) (always inlined);0;0;0;0;0;0
;0;k_mutex_init(struct k_mutex*) (always inlined);0;0;0;0;0;0
;0;k_mutex_lock(struct k_mutex*, struct k_timeout_t) (always inlined);0;0;0;0;0;0
;0;k_mutex_unlock(struct k_mutex*) (always inlined);0;0;0;0;0;0
sched.c;841;k_sched_lock();4;4;16;16;1;16
sched.c;360;k_sched_time_slice_set(int, int);11;9;39;32;1;33
sched.c;850;k_sched_unlock();7;7;24;24;947;22728
;0;k_sem_give(struct k_sem*) (always inlined);0;0;0;0;0;0
;0;k_sem_init(struct k_sem*, unsigned int, unsigned int) (always inlined);0;0;0;0;0;0
;0;k_sem_take(struct k_sem*, struct k_timeout_t) (always inlined);0;0;0;0;0;0
;0;k_sleep(struct k_timeout_t) (always inlined);0;0;0;0;0;0
;0;k_spin_lock(struct k_spinlock*) (always inlined);0;0;0;0;0;0
;0;k_spin_unlock(struct k_spinlock*, struct z_spinlock_key) (always inlined);0;0;0;0;0;0
fatal_error.c;21;k_sys_fatal_error_handler(unsigned int, const struct __esf*);2;0;3;0;0;0
;0;k_thread_abort(struct k_thread*) (always inlined);0;0;0;0;0;0
;0;k_thread_start(struct k_thread*) (always inlined);0;0;0;0;0;0
;0;k_thread_suspend(struct k_thread*) (always inlined);0;0;0;0;0;0
;0;k_ticks_to_ms_floor64(long long unsigned int) (always inlined);0;0;0;0;0;0
;0;k_uptime_ticks() (always inlined);0;0;0;0;0;0
;0;k_us_to_ticks_ceil32(unsigned int) (always inlined);0;0;0;0;0;0
;0;k_yield() (always inlined);0;0;0;0;0;0
clock_control_nrf.c;464;lfclk_spinwait(enum nrf_lfclk_start_mode);24;12;86;53;1;95
clock_control_nrf.c;203;lfclk_start();2;2;4;4;1;4
clock_control_nrf.c;212;lfclk_stop();2;0;4;0;0;0
micro_error_reporter.cc;31;Log(const char*, struct __va_list);4;0;13;0;0;0
submitter_implemented.cpp;353;main(int, char**);6;5;9;8;1;136849
;0;malloc;0;0;5;4;5;20
libc-hooks.c;100;malloc_prepare(const struct device*);1;1;2;2;1;2
fixedpoint.h;185;MaskIfGreaterThan<int>(int, int);1;0;7;5;844360;5910520
fixedpoint.h;199;MaskIfLessThan<int>(int, int);1;0;7;5;844360;5910520
fixedpoint.h;156;MaskIfNonZero<int>(int);1;1;5;5;1688720;6049979
;0;MatchingDim(const class RuntimeShape&, int, const class RuntimeShape&, int) (always inlined);0;0;0;0;0;0
;0;MatchingFlatSize(const class RuntimeShape&, const class RuntimeShape&) (always inlined);0;0;0;0;0;0
;0;max<float>(const float&, const float&) (always inlined);0;0;0;0;0;0
;0;max<int>(const int&, const int&) (always inlined);0;0;0;0;0;0
;0;max<tflite::BuiltinOperator>(const enum BuiltinOperator&, const enum BuiltinOperator&) (always inlined);0;0;0;0;0;0
fault.c;216;mem_manage_fault(struct __esf*, int, _Bool*);14;0;36;0;0;0
;0;memchr;0;0;14;14;125;5430
;0;memcpy;0;0;11;11;20207;721162
fault.c;173;memory_fault_recoverable(struct __esf*, _Bool);1;0;2;0;0;0
;0;memset;0;0;7;7;68;463712
;0;Metadata::name(const struct Metadata*) (always inlined);0;0;0;0;0;0
micro_allocator.cc;738;MicroAllocator::AllocateNodeAndRegistrations(const class MicroAllocator*, const struct Model*, struct SubgraphAllocations*);16;9;65;44;1;60
micro_allocator.cc;659;MicroAllocator::AllocatePersistentBuffer(const class MicroAllocator*, unsigned int);2;2;7;7;12;84
micro_allocator.cc;764;MicroAllocator::AllocatePersistentTfLiteTensor(const class MicroAllocator*, const struct Model*, const struct SubgraphAllocations*, int, int);15;7;78;57;2;114
micro_allocator.cc;904;MicroAllocator::AllocatePersistentTfLiteTensorInternal(const class MicroAllocator*);2;2;8;8;2;16
micro_allocator.cc;1024;MicroAllocator::AllocateScratchBufferHandles(const class MicroAllocator*, struct **, unsigned int);5;1;16;6;1;7
micro_allocator.cc;801;MicroAllocator::AllocateTempTfLiteTensor(const class MicroAllocator*, const struct Model*, const struct SubgraphAllocations*, int, int);15;7;80;58;40;2320
micro_allocator.cc;845;MicroAllocator::AllocateTfLiteEvalTensors(const class MicroAllocator*, const struct Model*, struct SubgraphAllocations*);22;12;175;124;1;1526
micro_allocator.cc;881;MicroAllocator::AllocateVariables(const class MicroAllocator*, const struct SubGraph*, struct TfLiteEvalTensor*);13;5;88;49;1;1124
micro_allocator.cc;925;MicroAllocator::CommitStaticMemoryPlan(const class MicroAllocator*, const struct Model*, struct TfLiteEvalTensor*, struct *, int);33;18;217;158;1;159
micro_allocator.cc;581;MicroAllocator::Create(class SimpleMemoryAllocator*, class ErrorReporter*);6;2;19;14;1;14
micro_allocator.cc;572;MicroAllocator::Create(unsigned char*, unsigned int, class ErrorReporter*);4;4;14;14;1;14
micro_allocator.cc;631;MicroAllocator::FinishModelAllocation(const class MicroAllocator*, const struct Model*, struct SubgraphAllocations*, struct **);17;7;88;64;1;82
micro_allocator.cc;705;MicroAllocator::FinishPrepareNodeAllocations(const class MicroAllocator*, int);7;4;28;20;10;210
micro_allocator.cc;1064;MicroAllocator::FlatBufferVectorToTfLiteTypeArray(const class MicroAllocator*, const class Vector<int>*, struct TfLiteIntArray**);2;2;7;7;20;140
micro_allocator.cc;1071;MicroAllocator::GetBuiltinDataAllocator(const class MicroAllocator*);1;1;2;2;1;2
micro_allocator.cc;1058;MicroAllocator::GetScratchBufferRequests(const class MicroAllocator*);2;2;6;6;11;66
micro_allocator.cc;1043;MicroAllocator::InitScratchBufferData(const class MicroAllocator*);3;3;10;10;1;10
micro_allocator.cc;564;MicroAllocator::MicroAllocator(const class MicroAllocator*, class SimpleMemoryAllocator*, class ErrorReporter*);1;0;12;11;1;11
micro_allocator.cc;909;MicroAllocator::PopulateTfLiteTensorFromFlatbuffer(const class MicroAllocator*, const struct Model*, struct TfLiteTensor*, int, int, bool);8;6;100;70;42;2940
micro_allocator.cc;663;MicroAllocator::RequestScratchBufferInArena(const class MicroAllocator*, unsigned int, int, int*);14;0;37;0;0;0
micro_allocator.cc;841;MicroAllocator::ResetTempAllocations(const class MicroAllocator*);2;2;6;6;5060;30360
micro_allocator.cc;593;MicroAllocator::StartModelAllocation(const class MicroAllocator*, const struct Model*);20;8;83;58;1;58
micro_allocator.cc;570;MicroAllocator::~MicroAllocator(const class MicroAllocator*);1;0;5;0;0;0
micro_allocator.cc;570;MicroAllocator::~MicroAllocator(const class MicroAllocator*);1;0;1;0;0;0
micro_allocator.cc;70;MicroBuiltinDataAllocator::Allocate(const class MicroBuiltinDataAllocator*, unsigned int, unsigned int);2;2;6;6;10;60
micro_allocator.cc;73;MicroBuiltinDataAllocator::Deallocate(const class MicroBuiltinDataAllocator*, void*);1;0;1;0;0;0
;0;MicroBuiltinDataAllocator::MicroBuiltinDataAllocator(const class MicroBuiltinDataAllocator*, class SimpleMemoryAllocator*) (always inlined);0;0;0;0;0;0
micro_allocator.cc;65;MicroBuiltinDataAllocator::~MicroBuiltinDataAllocator(const class MicroBuiltinDataAllocator*);2;0;5;0;0;0
flatbuffer_conversions.h;51;MicroBuiltinDataAllocator::~MicroBuiltinDataAllocator(const class MicroBuiltinDataAllocator*);1;0;1;0;0;0
micro_error_reporter.cc;63;MicroErrorReporter::Report(const class MicroErrorReporter*, const char*, struct __va_list);3;0;6;0;0;0
micro_error_reporter.h;40;MicroErrorReporter::~MicroErrorReporter(const class MicroErrorReporter*);2;0;5;0;0;0
error_reporter.h;37;MicroErrorReporter::~MicroErrorReporter(const class MicroErrorReporter*);1;0;1;0;0;0
micro_graph.cc;119;MicroGraph::FreeSubgraphs(const class MicroGraph*);13;0;38;0;0;0
;0;MicroGraph::GetAllocations(const class MicroGraph*) (always inlined);0;0;0;0;0;0
;0;MicroGraph::GetCurrentSubgraphIndex(const class MicroGraph*) (always inlined);0;0;0;0;0;0
micro_graph.cc;227;MicroGraph::GetSubgraphInput(const class MicroGraph*, int, int);10;0;73;0;0;0
micro_graph.cc;238;MicroGraph::GetSubgraphOutput(const class MicroGraph*, int, int);10;0;73;0;0;0
micro_graph.cc;55;MicroGraph::InitSubgraphs(const class MicroGraph*);18;14;42;37;1;187
micro_graph.cc;145;MicroGraph::InvokeSubgraph(const class MicroGraph*, int);25;14;89;51;505;159075
micro_graph.cc;42;MicroGraph::MicroGraph(const class MicroGraph*, struct TfLiteContext*, const struct Model*, class MicroAllocator*);5;3;33;26;1;26
micro_graph.cc;223;MicroGraph::NumSubgraphInputs(const class MicroGraph*, int);8;0;57;0;0;0
micro_graph.cc;234;MicroGraph::NumSubgraphOutputs(const class MicroGraph*, int);8;0;56;0;0;0
micro_graph.cc;216;MicroGraph::NumSubgraphs(const class MicroGraph*);5;3;23;17;2;34
micro_graph.cc;89;MicroGraph::PrepareSubgraphs(const class MicroGraph*);17;13;49;39;1;198
micro_graph.cc;192;MicroGraph::ResetVariableTensors(const class MicroGraph*);13;4;173;63;1;1142
micro_graph.cc;218;MicroGraph::SetSubgraphAllocations(const class MicroGraph*, struct *);1;1;2;2;1;2
micro_graph.cc;53;MicroGraph::~MicroGraph(const class MicroGraph*);1;0;5;0;0;0
micro_graph.cc;53;MicroGraph::~MicroGraph(const class MicroGraph*);1;0;1;0;0;0
micro_interpreter.cc;314;MicroInterpreter::AllocatePersistentBuffer(struct TfLiteContext*, unsigned int);2;2;7;7;10;70
micro_interpreter.cc;183;MicroInterpreter::AllocateTensors(const class MicroInterpreter*);50;23;581;327;1;403
;0;MicroInterpreter::get_subgraph_index(const class MicroInterpreter*) (always inlined);0;0;0;0;0;0
micro_interpreter.cc;358;MicroInterpreter::GetEvalTensor(const struct TfLiteContext*, int);3;3;8;8;20200;161600
micro_interpreter.cc;367;MicroInterpreter::GetGraph(struct TfLiteContext*, struct TfLiteIntArray**);3;0;5;0;0;0
micro_interpreter.cc;329;MicroInterpreter::GetScratchBuffer(struct TfLiteContext*, int);3;0;4;0;0;0
micro_interpreter.cc;349;MicroInterpreter::GetTensor(const struct TfLiteContext*, int);5;5;14;14;40;560
micro_interpreter.cc;79;MicroInterpreter::Init(const class MicroInterpreter*, class MicroProfiler*);6;6;11;11;1;11
micro_interpreter.cc;288;MicroInterpreter::input(const class MicroInterpreter*, unsigned int);12;6;67;40;11;440
;0;MicroInterpreter::inputs_size(const class MicroInterpreter*) (always inlined);0;0;0;0;0;0
micro_interpreter.cc;273;MicroInterpreter::Invoke(const class MicroInterpreter*);7;2;18;8;505;4545
micro_interpreter.cc;36;MicroInterpreter::MicroInterpreter(const class MicroInterpreter*, const struct Model*, const class MicroOpResolver&, unsigned char*, unsigned int, class ErrorReporter*, class MicroProfiler*);2;2;35;35;1;35
micro_interpreter.cc;299;MicroInterpreter::output(const class MicroInterpreter*, unsigned int);12;6;66;40;6405;256200
;0;MicroInterpreter::outputs_size(const class MicroInterpreter*) (always inlined);0;0;0;0;0;0
micro_interpreter.cc;91;MicroInterpreter::PrepareNodeAndRegistrationDataFromFlatbuffer(const class MicroInterpreter*);41;15;374;220;1;1633
micro_interpreter.cc;337;MicroInterpreter::ReportOpError(struct TfLiteContext*, const char*);5;0;15;0;0;0
micro_interpreter.cc;320;MicroInterpreter::RequestScratchBufferInArena(struct TfLiteContext*, unsigned int, int*);3;0;7;0;0;0
micro_interpreter.cc;310;MicroInterpreter::ResetVariableTensors(const class MicroInterpreter*);2;2;4;4;1;4
micro_interpreter.cc;73;MicroInterpreter::~MicroInterpreter(const class MicroInterpreter*);3;0;10;0;0;0
;0;MicroMutableOpResolver<3>::AddBuiltin(const class MicroMutableOpResolver<3>*, enum BuiltinOperator, const struct TfLiteRegistration&, enum TfLiteStatus(const struct Operator*, class ErrorReporter*, class BuiltinDataAllocator*, void**)*) (always inlined);0;0;0;0;0;0
;0;MicroMutableOpResolver<3>::AddDequantize(const class MicroMutableOpResolver<3>*) (always inlined);0;0;0;0;0;0
;0;MicroMutableOpResolver<3>::AddFullyConnected(const class MicroMutableOpResolver<3>*, const struct TfLiteRegistration&) (always inlined);0;0;0;0;0;0
;0;MicroMutableOpResolver<3>::AddQuantize(const class MicroMutableOpResolver<3>*) (always inlined);0;0;0;0;0;0
micro_mutable_op_resolver.h;58;MicroMutableOpResolver<3>::FindOp(const class MicroMutableOpResolver<3>*, const char*);2;0;24;0;0;0
micro_mutable_op_resolver.h;46;MicroMutableOpResolver<3>::FindOp(const class MicroMutableOpResolver<3>*, enum BuiltinOperator);2;0;20;17;13;184
micro_mutable_op_resolver.h;69;MicroMutableOpResolver<3>::GetOpDataParser(const class MicroMutableOpResolver<3>*, enum BuiltinOperator);2;0;20;14;10;140
;0;MicroMutableOpResolver<3>::MicroMutableOpResolver(const class MicroMutableOpResolver<3>*, class ErrorReporter*) (always inlined);0;0;0;0;0;0
op_resolver.h;48;MicroMutableOpResolver<3>::~MicroMutableOpResolver(const class MicroMutableOpResolver<3>*);1;0;1;0;0;0
micro_mutable_op_resolver.h;39;MicroMutableOpResolver<3>::~MicroMutableOpResolver(const class MicroMutableOpResolver<3>*);2;0;5;0;0;0
micro_op_resolver.h;60;MicroOpResolver::FindOp(const class MicroOpResolver*, const char*, int);2;0;5;0;0;0
micro_op_resolver.h;53;MicroOpResolver::FindOp(const class MicroOpResolver*, enum BuiltinOperator, int);2;2;5;5;10;50
micro_error_reporter.cc;47;MicroPrintf(const char*);4;0;11;0;0;0
micro_string.cc;234;MicroVsnprintf(char*, int, const char*, struct __va_list);48;0;151;0;0;0
;0;min<float>(const float&, const float&) (always inlined);0;0;0;0;0;0
;0;min<int>(const int&, const int&) (always inlined);0;0;0;0;0;0
;0;min_chunk_size(struct z_heap*) (always inlined);0;0;0;0;0;0
;0;Model::buffers(const struct Model*) (always inlined);0;0;0;0;0;0
;0;Model::metadata(const struct Model*) (always inlined);0;0;0;0;0;0
;0;Model::operator_codes(const struct Model*) (always inlined);0;0;0;0;0;0
;0;Model::subgraphs(const struct Model*) (always inlined);0;0;0;0;0;0
sched.c;325;move_thread_to_end_of_prio_q(struct k_thread*);21;0;56;0;0;0
arm_mpu.c;79;mpu_configure_region(const unsigned char, const struct z_arm_mpu_partition*);7;0;20;0;0;0
arm_mpu_v8_internal.h;334;mpu_configure_regions_and_partition(const struct z_arm_mpu_partition*, unsigned char, unsigned char, _Bool);43;2;149;20;1;23
arm_mpu_v8_internal.h;470;mpu_configure_static_mpu_regions(const struct z_arm_mpu_partition*, const unsigned char, const unsigned int, const unsigned int);5;5;7;7;1;7
arm_mpu_v8_internal.h;34;mpu_init();1;1;4;4;1;4
arm_mpu_v8_internal.h;496;mpu_mark_areas_for_dynamic_regions(const struct z_arm_mpu_partition*, const unsigned char);16;10;60;52;1;53
arm_mpu_v8_internal.h;90;mpu_partition_is_valid(const struct z_arm_mpu_partition*);2;0;16;0;0;0
;0;mpu_region_get_access_attr(const unsigned int, struct arm_mpu_region_attr*) (always inlined);0;0;0;0;0;0
;0;mpu_region_get_base(const unsigned int) (always inlined);0;0;0;0;0;0
;0;mpu_region_get_conf(const unsigned int, struct arm_mpu_region*) (always inlined);0;0;0;0;0;0
;0;mpu_region_get_last_addr(const unsigned int) (always inlined);0;0;0;0;0;0
;0;mpu_region_set_base(const unsigned int, const unsigned int) (always inlined);0;0;0;0;0;0
;0;mpu_region_set_limit(const unsigned int, const unsigned int) (always inlined);0;0;0;0;0;0
;0;MultiplyByQuantizedMultiplier(int, int, int) (always inlined);0;0;0;0;0;0
;0;mutex_free;0;0;16;0;0;0
nrf_cc3xx_platform_mutex_zephyr.c;223;mutex_free_platform(struct nrf_cc3xx_platform_mutex*);11;0;32;0;0;0
;0;mutex_init;0;0;11;7;4;28
nrf_cc3xx_platform_mutex_zephyr.c;178;mutex_init_platform(struct nrf_cc3xx_platform_mutex*);14;0;46;0;0;0
;0;mutex_lock;0;0;22;10;1;10
nrf_cc3xx_platform_mutex_zephyr.c;259;mutex_lock_platform(struct nrf_cc3xx_platform_mutex*);10;0;44;0;0;0
;0;mutex_unlock;0;0;16;7;1;7
nrf_cc3xx_platform_mutex_zephyr.c;302;mutex_unlock_platform(struct nrf_cc3xx_platform_mutex*);11;0;36;0;0;0
;0;need_swap() (always inlined);0;0;0;0;0;0
ksched.h;208;new_prio_for_inheritance(int, int);3;0;9;0;0;0
dlist.h;348;next(struct _timeout*);3;0;10;0;0;0
timeout.c;67;next_timeout();6;3;27;8;27370;273700
;0;next_up() (always inlined);0;0;0;0;0;0
